TLID,NAME,LENGTH
62092870,62092870b,66.43697
62043223,62043223a,510.41008
62043452,62043452b,187.59903
62104706,62104706a,637.95335
62046444,62046444a,79.38011
62046445,62046445b,144.04371
62046450,62046450a,123.59879
62084315,62084315a,28.75396
62049232,62049232b,41.13556
62049237,62049237b,144.2826
62049239,62049239b,260.9507
62049287,62049287a,254.41122
62092943,62092943b,60.2028
62092946,62092946a,81.61655
62105912,62105912a,151.99268
62092952,62092952b,91.98763
62092955,62092955a,81.87745
62092958,62092958a,81.56776
62098367,62098367b,44.12836
62100480,62100480b,223.30667
62100481,62100481a,429.1892
62100482,62100482a,182.31886
62092869,62092869b,151.74913
62092870,62092870a,66.43697
62092874,62092874a,157.13779
62092876,62092876b,99.12153
62046608,62046608a,291.52096
62046609,62046609b,298.91196
62091774,62091774b,232.03393
62092939,62092939b,87.56616
62092941,62092941b,194.92509
62092942,62092942a,140.71933
62092943,62092943a,60.2028
62046456,62046456b,203.25432
62046544,62046544a,240.19314
62094585,62094585b,346.57184
62043782,62043782b,272.38513
62043764,62043764b,18.61021
62043782,62043782a,272.38513
62043761,62043761a,86.49869
62043764,62043764a,18.61021
62043767,62043767a,648.26656
62043760,62043760a,95.43842
62043761,62043761b,86.49869
62043766,62043766a,328.8022
62043785,62043785b,77.97665
62043767,62043767b,648.26656
62043785,62043785a,77.97665
62043766,62043766b,328.8022
62043775,62043775a,1039.53668
62048689,62048689b,246.81064
62088675,62088675b,204.06453
62043760,62043760b,95.43842
62043779,62043779a,53.60806
62047389,62047389a,79.86514
62047410,62047410a,112.53611
62080766,62080766b,91.28045
62043805,62043805b,467.89873
62043814,62043814a,282.24053
62098135,62098135b,386.20993
62098136,62098136a,670.29288
62098137,62098137b,390.26772
62099009,62099009a,442.57305
62046606,62046606b,82.312
62046628,62046628b,128.99373
62046629,62046629a,79.39578
62084322,62084322b,15.225
62090328,62090328a,355.85081
62090328,62090328b,355.85081
62105027,62105027b,257.28554
62048863,62048863b,342.17486
62046621,62046621b,90.6124
62046623,62046623a,112.11217
62104869,62104869a,281.56476
62046627,62046627a,165.49785
62092960,62092960b,125.42517
62080313,62080313b,336.63204
62046610,62046610b,385.92648
62046611,62046611a,20.54031
62046612,62046612a,228.88529
62075768,62075768b,97.50977
62045194,62045194b,112.55835
62046612,62046612b,228.88529
62046620,62046620a,81.96607
62046621,62046621a,90.6124
62084176,62084176a,150.07208
62084180,62084180b,84.88993
62088545,62088545a,59.61356
62105473,62105473a,313.97047
62091775,62091775a,61.09458
62083153,62083153b,176.64702
62084322,62084322a,15.225
62084323,62084323b,119.80646
62043239,62043239b,11.13728
62074869,62074869b,469.05098
62090403,62090403a,117.74797
62090404,62090404a,69.86546
62092987,62092987b,125.99486
62104216,62104216a,436.83036
62091958,62091958b,230.70479
62096758,62096758a,202.15327
62103251,62103251a,98.8426
62106077,62106077b,257.67782
62084178,62084178b,150.5872
62092857,62092857b,91.48819
62046629,62046629b,79.39578
62046611,62046611b,20.54031
62046613,62046613a,145.72789
62046614,62046614b,214.42583
62045304,62045304a,241.35935
62045307,62045307b,126.42236
62045217,62045217a,303.08369
62054269,62054269b,8.85842
62045215,62045215b,133.21758
62054269,62054269a,8.85842
62045217,62045217b,303.08369
62045303,62045303a,129.02119
62045304,62045304b,241.35935
62045182,62045182b,164.09081
62045194,62045194a,112.55835
62045195,62045195a,281.67511
62045044,62045044a,312.85012
62045045,62045045b,134.70352
62094545,62094545b,393.61793
62045063,62045063b,73.30698
62045065,62045065b,121.08872
62045067,62045067a,529.40896
62045312,62045312b,372.02937
62088360,62088360b,384.33214
62099546,62099546a,163.26753
62045303,62045303b,129.02119
62045305,62045305a,117.12944
62099564,62099564b,445.24873
62048685,62048685b,89.30944
62048687,62048687b,131.64388
62043239,62043239a,11.13728
62043240,62043240a,10.92404
62043243,62043243b,204.85284
62091777,62091777b,222.8466
62091964,62091964b,67.36208
62043240,62043240b,10.92404
62084331,62084331b,134.51003
62105289,62105289b,115.30497
62045215,62045215a,133.21758
62045216,62045216a,532.27103
62045222,62045222b,833.55381
62098480,62098480b,193.11188
62084171,62084171b,79.39979
62084180,62084180a,84.88993
62084181,62084181b,177.88781
62084182,62084182a,134.28432
62047393,62047393a,91.10949
62047390,62047390a,87.94861
62092941,62092941a,194.92509
62100499,62100499b,510.79618
62045195,62045195b,281.67511
62045196,62045196a,74.46037
62045198,62045198a,167.89441
62045204,62045204b,474.21594
62045315,62045315b,358.95102
62045311,62045311b,477.13047
62043725,62043725b,436.06203
62045045,62045045a,134.70352
62075638,62075638b,253.28013
62099547,62099547b,173.42828
62104787,62104787a,1061.81725
62045169,62045169a,1005.05757
62045173,62045173b,282.08477
62045174,62045174b,512.16368
62104784,62104784a,1305.76253
62045064,62045064b,157.01368
62045065,62045065a,121.08872
62045066,62045066a,652.66344
62075017,62075017b,403.48315
62099546,62099546b,163.26753
62099547,62099547a,173.42828
62099548,62099548a,326.18283
62048653,62048653b,240.1797
62048680,62048680a,130.69925
62048681,62048681a,201.41183
62046623,62046623b,112.11217
62046624,62046624a,101.85157
62083152,62083152a,174.03786
62049233,62049233a,443.2876
62047335,62047335b,316.57952
62047338,62047338b,348.76525
62047339,62047339a,403.96605
62092958,62092958b,81.56776
62092959,62092959a,80.13405
62092960,62092960a,125.42517
62092966,62092966b,214.07496
62092967,62092967a,151.3941
62092969,62092969a,73.78306
62080315,62080315b,254.47567
62096373,62096373b,106.2956
62091962,62091962b,102.14942
62091963,62091963a,118.43412
62091964,62091964a,67.36208
62084177,62084177a,17.85275
62084178,62084178a,150.5872
62088545,62088545b,59.61356
62084171,62084171a,79.39979
62084179,62084179b,169.01592
62098365,62098365a,116.10117
62048609,62048609a,161.00019
62092819,62092819b,146.50894
62092872,62092872a,316.23813
62045203,62045203a,595.24253
62045198,62045198b,167.89441
62045228,62045228b,847.27741
62048026,62048026b,107.3114
62099563,62099563b,1166.82775
62104469,62104469a,82.72681
62045047,62045047b,318.44191
62075638,62075638a,253.28013
62045204,62045204a,474.21594
62045206,62045206a,345.83359
62045221,62045221b,130.57802
62048009,62048009a,1115.27274
62048015,62048015b,80.23919
62048017,62048017a,101.98253
62045067,62045067b,529.40896
62045070,62045070b,512.12128
62045173,62045173a,282.08477
62099531,62099531b,191.88387
62045184,62045184a,891.20813
62045196,62045196b,74.46037
62047998,62047998b,2262.53043
62048026,62048026a,107.3114
62045221,62045221a,130.57802
62045222,62045222a,833.55381
62047329,62047329b,655.00441
62047359,62047359b,137.09291
62047392,62047392a,280.02852
62080763,62080763b,38.63266
62080766,62080766a,91.28045
62080768,62080768a,78.76579
62092818,62092818b,397.97929
62092819,62092819a,146.50894
62092827,62092827a,239.37378
62047409,62047409b,135.8876
62091769,62091769b,160.0675
62099529,62099529b,1165.89163
62099531,62099531a,191.88387
62104481,62104481a,555.91493
62045184,62045184b,891.20813
62104469,62104469b,82.72681
62104470,62104470a,30.79813
62106292,62106292a,458.48457
62045346,62045346a,380.41954
62102017,62102017a,347.80361
62104787,62104787b,1061.81725
62048011,62048011b,65.7417
62048013,62048013b,48.32265
62104949,62104949a,1825.49119
62043447,62043447b,884.62289
62104462,62104462a,150.83634
62104481,62104481b,555.91493
62104482,62104482a,97.37171
62104483,62104483a,496.02552
62048010,62048010a,45.23964
62048011,62048011a,65.7417
62104482,62104482b,97.37171
62048010,62048010b,45.23964
62048012,62048012a,55.50643
62048013,62048013a,48.32265
62048012,62048012b,55.50643
62048015,62048015a,80.23919
62048017,62048017b,101.98253
62047331,62047331b,162.80677
62047390,62047390b,87.94861
62088548,62088548a,302.13559
62047412,62047412a,109.58755
62104869,62104869b,281.56476
62103253,62103253b,253.75797
62102016,62102016a,238.07232
62102017,62102017b,347.80361
62102018,62102018a,462.14463
62045047,62045047a,318.44191
62045049,62045049b,476.49678
62098488,62098488a,2815.36533
62098491,62098491a,1938.57765
62102007,62102007b,161.21107
62102009,62102009a,324.36048
62104951,62104951a,274.66011
62045205,62045205a,173.50694
62045206,62045206b,345.83359
62045232,62045232a,227.33926
62102009,62102009b,324.36048
62045172,62045172b,1442.05239
62045205,62045205b,173.50694
62106292,62106292b,458.48457
62045216,62045216b,532.27103
62102016,62102016b,238.07232
62102007,62102007a,161.21107
62104462,62104462b,150.83634
62104470,62104470b,30.79813
62064943,62064943a,173.85995
62064949,62064949b,294.60613
62064952,62064952b,160.3389
62093993,62093993a,201.09506
62093997,62093997b,91.32329
62105462,62105462b,342.29945
62064842,62064842a,51.44432
62064843,62064843a,112.99659
62064846,62064846b,88.76502
62080722,62080722b,428.06988
62063419,62063419a,78.18871
62063421,62063421a,218.8706
62063422,62063422b,61.2762
62048008,62048008b,2.71439
62048016,62048016b,2.75451
62048023,62048023a,1629.92902
62063387,62063387b,69.2119
62048008,62048008a,2.71439
62048016,62048016a,2.75451
62048024,62048024b,151.3595
62104949,62104949b,1825.49119
62063392,62063392a,68.31255
62063396,62063396a,484.53812
62063397,62063397b,299.35822
62045232,62045232b,227.33926
62045233,62045233a,294.28351
62045236,62045236a,279.21401
62104483,62104483b,496.02552
62063184,62063184b,99.91166
62063186,62063186a,152.65286
62063187,62063187a,344.13842
62063220,62063220a,112.35259
62063224,62063224b,104.39235
62063236,62063236b,456.36055
62105459,62105459a,100.69069
62045353,62045353b,174.36424
62068669,62068669a,274.45047
62068688,62068688a,126.49654
62068695,62068695b,164.03244
62068696,62068696b,266.39477
62045346,62045346b,380.41954
62063184,62063184a,99.91166
62089277,62089277b,350.92902
62089278,62089278a,534.8737
62054534,62054534b,243.10786
62077711,62077711b,201.21877
62045227,62045227a,234.98687
62045066,62045066b,652.66344
62045069,62045069a,900.34288
62045070,62045070a,512.12128
62079468,62079468a,893.64198
62043729,62043729b,26.40129
62043729,62043729a,26.40129
62105279,62105279a,141.63844
62054250,62054250b,152.02955
62051628,62051628a,95.57051
62057276,62057276a,65.43569
62057283,62057283b,171.36319
62050596,62050596a,414.20641
62050602,62050602a,211.61904
62050603,62050603b,83.52448
62051633,62051633a,60.51402
62051636,62051636b,47.65275
62051638,62051638a,121.51341
62051866,62051866b,57.70063
